ID,GUZERGAH_A,GUZERGAH_K,HAT_ADI,HAT_KODU,DEPAR_NO,DURUM,UZUNLUK,HAT_BASI,HAT_SONU,YON,HAT_ID,SURE,RING_MI,B_NOKTASI,latitude,longitude
3141,YENİKAPI ETKİNLİK ALANI  -  VADİTEPE,76A_D_D0,KİPTAŞ VADİTEPE - YENİKAPI,76A,0,AKTİF,3208868.0,VADİTEPE,YENİKAPI ETKİNLİK ALANI,DÖNÜŞ,177,465802.0,HAYIR,0,41.0510552324711,28.82096122555202
3145,İSTANBUL ÜNİVERSİTESİ - CERRAHPAŞA AVCILAR KAMPÜSÜ  -  CİHANGİR MAHALLESİ,76B_D_D0,AVCILAR CİHANGİR MAHALLESİ - AVCILAR METROBÜS,76B,0,AKTİF,359908.99999999994,CİHANGİR MAHALLESİ,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA AVCILAR KAMPÜSÜ,DÖNÜŞ,235,52245.0,HAYIR,0,40.97947197332785,28.71417838168242
3147,CİHANGİR MAHALLESİ - CERRAHPAŞA AVCILAR KAMPÜSÜ,76B_G_D7744,AVCILAR CİHANGİR MAHALLESİ - AVCILAR METROBÜS,76B,7744,AKTİF,817596.0,CİHANGİR MAHALLESİ,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA AVCILAR KAMPÜSÜ,GİDİŞ,235,118684.0,EVET,123544,40.979792573717376,28.713117897017348
3148,BAKIRKÖY - BÜYÜKÇEKMECE,76C_D_D0,BÜYÜKÇEKMECE - BAKIRKÖY,76C,0,AKTİF,3065716.0,BÜYÜKÇEKMECE,BAKIRKÖY,DÖNÜŞ,234,445023.00000000006,HAYIR,0,40.9991555694376,28.73240389669756
3150,BÜYÜKÇEKMECE -  BAKIRKÖY,76C_G_D7746,BÜYÜKÇEKMECE - BAKIRKÖY,76C,7746,AKTİF,6324219.0,BÜYÜKÇEKMECE,BAKIRKÖY,GİDİŞ,234,91613.0,EVET,131941,40.9991408309984,28.72829170775179
3151,GÜMÜŞSUYU PERON  -  BAHÇEŞEHİR,76D_D_D0,BAHÇEŞEHİR / ESENKENT - TAKSİM,76D,0,AKTİF,3965226.0,BAHÇEŞEHİR,GÜMÜŞSUYU PERON,DÖNÜŞ,233,575598.0,HAYIR,0,41.01014663186987,28.812980015308757
3152,GÜMÜŞSUYU PERON  -  BAHÇEŞEHİR,76D_D_D7691,BAHÇEŞEHİR / ESENKENT - TAKSİM,76D,7691,AKTİF,3957561.0,BAHÇEŞEHİR,GÜMÜŞSUYU PERON,DÖNÜŞ,233,574485.0,HAYIR,0,41.0101476008047,28.812971013111863
3153,BAHÇEŞEHİR  -  GÜMÜŞSUYU PERON,76D_G_D0,BAHÇEŞEHİR / ESENKENT - TAKSİM,76D,0,AKTİF,3926903.0,BAHÇEŞEHİR,GÜMÜŞSUYU PERON,GİDİŞ,233,570036.0,HAYIR,0,41.008883943867936,28.81316514468637
3160,İSTANBUL ÜNİVERSİTESİ - CERRAHPAŞA AVCILAR KAMPÜSÜ  -  SU ÜRÜNLERİ HALİ,76G_D_D0,GÜRPINAR - AVCILAR METROBÜS,76G,0,AKTİF,2037544.0,SU ÜRÜNLERİ HALİ,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA AVCILAR KAMPÜSÜ,DÖNÜŞ,646,295771.00000000006,HAYIR,0,40.99813665603706,28.64541692927407
3161,SU ÜRÜNLERİ HALİ  -  İSTANBUL ÜNİVERSİTESİ - CERRAHPAŞA AVCILAR KAMPÜSÜ,76G_G_D0,GÜRPINAR - AVCILAR METROBÜS,76G,0,AKTİF,1945967.0,SU ÜRÜNLERİ HALİ,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA AVCILAR KAMPÜSÜ,GİDİŞ,646,282481.0,HAYIR,0,40.99735569760461,28.64611785599476
3167,OTOGAR  -  CİHANGİR MAHALLESİ,76O_D_D7459,AVCILAR CİHANGİR MAHALLESİ - OTOGAR,76O,7459,AKTİF,3778349.0,CİHANGİR MAHALLESİ,OTOGAR,DÖNÜŞ,231,548473.0,HAYIR,0,41.03260139577952,28.795757196269463
3168,OTOGAR  -  CİHANGİR MAHALLESİ,76O_D_D7938,AVCILAR CİHANGİR MAHALLESİ - OTOGAR,76O,7938,AKTİF,3567201.0,CİHANGİR MAHALLESİ,OTOGAR,DÖNÜŞ,231,517819.00000000006,HAYIR,0,41.02669629562854,28.802453929717377
