ID,ADI,DURAK_KODU,DURUMU,DURAK_TIPI,YON_BILGIS,SON_GUNCEL,YAPILIS_TA,ILCEID,MAHALLEID,VERSIYON,CEP_VAR,latitude,longitude
392,MERCAN YUVASI,225972,1,İETTBAYRAK,SON DURAK,13.07.2020 00:00:00,02.01.2016 00:00:00,2015,40719,"2,02007E+14",0.0,40.8183030005252,29.2763499999941
393,DENİZ HARP OKULU,225981,1,CCMODERN,TUZLA,01.06.2020 00:00:00,02.01.2016 00:00:00,2015,40719,"2,02006E+14",1.0,40.8140130005245,29.266183999994
394,ŞEKER SOKAK,227161,1,AÇIK DURAK,TEPEÖREN,17.11.2021 00:00:00,02.01.2016 00:00:00,2015,40720,"2,02111E+14",0.0,40.8837970005355,29.3429089999946
398,EGEMENLİK CADDESİ,228381,1,AÇIK DURAK,KADIKÖY,23.09.2021 00:00:00,02.01.2016 00:00:00,2015,40722,"2,02109E+14",0.0,40.8281299991206,29.3517150000085
402,İNÖNÜ CADDESİ,228401,1,IETTCAMLI,PENDİK  133Ş,01.01.1976 00:00:00,02.01.2016 00:00:00,2015,40722,"2,01806E+14",2.0,40.8285630005268,29.3586189999948
404,EMİROĞLU CADDESİ,228411,1,İETTBAYRAK,KARTAL 133Ş,01.01.1976 00:00:00,02.01.2016 00:00:00,2015,40722,"2,01805E+14",1.0,40.8310310005272,29.3613329999948
411,MUHTARLIK,228452,1,AÇIK DURAK,ŞİFA  133Ş,06.05.2022 00:00:00,02.01.2016 00:00:00,2015,40721,"2,02205E+14",0.0,40.8394929947744,29.3592879849548
415,İSKİ TESİSLERİ,228651,1,İETTBAYRAK,KAFKALE,23.07.2019 00:00:00,02.01.2016 00:00:00,2015,40719,"2,01907E+14",0.0,40.8272520005255,29.2923689999942
416,İSKİ TESİSLERİ,228652,1,İETTBAYRAK,ŞEKERPINAR,01.01.1976 00:00:00,02.01.2016 00:00:00,2015,40719,"2,01805E+14",2.0,40.8272620005266,29.2921199999942
423,ORHANLI İTFAİYESİ,229021,1,İETTBAYRAK,TEPEÖREN,01.01.1976 00:00:00,02.01.2016 00:00:00,2015,99254,"2,01805E+14",2.0,40.886301000536,29.3520749999947
424,ORHANLI İTFAİYESİ,229022,1,IETTCAMLI,KARTAL,10.03.2021 00:00:00,02.01.2016 00:00:00,2015,40732,"2,02103E+14",0.0,40.8864070005359,29.3518119999947
428,ANTENTEPE,229062,1,AÇIK DURAK,TUZLA,01.01.1976 00:00:00,02.01.2016 00:00:00,2015,40726,"2,01805E+14",0.0,40.9146790005404,29.399132999995
430,KİRAZTEPE,229072,1,IETTCAMLI,TUZLA,03.12.2021 00:00:00,02.01.2016 00:00:00,2015,40726,"2,02112E+14",0.0,40.9124880005401,29.397395999995
433,YUNUS EMRE,229131,1,İETTBAYRAK,TUZLA,21.04.2021 00:00:00,02.01.2016 00:00:00,2015,40726,"2,02104E+14",0.0,40.9187399991186,29.391281000008
434,YUNUS EMRE,229132,1,İETTBAYRAK,GÖZÇBEYLİ,21.04.2021 00:00:00,02.01.2016 00:00:00,2015,40726,"2,02104E+14",0.0,40.9187029991186,29.391470000008
440,KORU EVLERİ,229162,1,AÇIK DURAK,KARTAL,01.01.1976 00:00:00,02.01.2016 00:00:00,2015,40726,"2,01805E+14",0.0,40.9396460005443,29.3882209999949
1222,KAYNARCA,228152,1,İSTON GENİŞ,PENDİK,11.10.2021 00:00:00,02.01.2016 00:00:00,1835,40629,"2,0211E+14",1.0,40.8768309591195,29.2632839100095
244,TUNA CADDESİ,209591,1,AÇIK DURAK,KARTAL,24.12.2019 00:00:00,02.01.2016 00:00:00,2059,50318,"2,01912E+14",0.0,40.8615999991198,29.3714000000082
280,MEHMETÇİK VAKFI,211151,1,IETTCAMLI,PENDİK,24.11.2021 00:00:00,02.01.2016 00:00:00,2015,40731,"2,02111E+14",0.0,40.9202110005412,29.3486109999946
76,ŞEHİT İLHAN KARTAL ANADOLU LİSESİ,205511,1,AÇIK DURAK,KARTAL,30.04.2020 00:00:00,02.01.2016 00:00:00,2059,50318,"2,02004E+14",0.0,40.8595821843159,29.3705699699563
125,GALATASARAYLILAR SİTESİ,207621,1,İSTON GENİŞ,DNZ.HARP OKULU,25.10.2022 00:00:00,02.01.2016 00:00:00,2015,40723,"2,0221E+14",0.0,40.8235319991206,29.3166050000089
331,AKDENİZ SOKAK,212862,1,İETTBAYRAK,AYDINLI,01.01.1976 00:00:00,02.01.2016 00:00:00,2015,40726,"2,01808E+14",2.0,40.8985060005379,29.396147999995
293134,GÖZTEPE,220612,1,CCMODERN,ÜSKÜDAR 15M,01.01.1976 00:00:00,02.01.2016 00:00:00,1185,40246,"2,01807E+14",2.0,41.0813630005669,29.080524999991
292997,ÇUBUKLU,219492,1,WALLMODERN,ÜSKÜDAR,01.01.1976 00:00:00,02.01.2016 00:00:00,1185,40241,"2,01807E+14",1.0,41.106833000571,29.0835779999909
292959,KAVACIK SAPAĞI,218871,1,CCMODERN,ANADOLU HİSARI,01.01.1976 00:00:00,02.01.2016 00:00:00,1185,40247,"2,01807E+14",1.0,41.088525000568,29.0905359999911
508825,BAŞAKPAZAR,123932,1,İSTON GENİŞ,BAŞAKŞEHİR 4. ETAP,15.02.2022 00:00:00,02.01.2016 00:00:00,2050,40357,"2,02202E+14",0.0,41.1113960005714,28.8100799999829
509266,ORTADAĞ,214552,1,İETTBAYRAK,SARIGAZİ,01.01.1976 00:00:00,02.01.2016 00:00:00,2054,40576,"2,01806E+14",2.0,40.9545840005467,29.2146629999931
508923,BOĞAZKÖY  ORTAOKULU,127481,1,İETTBAYRAK,ESENKENT-BOĞAZKÖY,23.11.2020 00:00:00,02.01.2016 00:00:00,2050,40872,"2,02011E+14",0.0,41.0805070005661,28.6617219999733
509583,CİHANGİR MAHALLESİ,127911,1,İETTBAYRAK,AVCILAR,01.01.1976 00:00:00,02.01.2016 00:00:00,2003,40148,"2,01807E+14",2.0,40.9906130005519,28.7133009999778
509584,CİHANGİR MAHALLESİ,127912,1,İETTBAYRAK,B.ÇEKMECE,01.01.1976 00:00:00,02.01.2016 00:00:00,2003,40149,"2,01809E+14",2.0,40.9909100005519,28.7138379999778
509586,PARK,128371,1,İSTON DAR_İBB,CİHANGİR MAHALLESİ,15.03.2021 00:00:00,02.01.2016 00:00:00,2003,40145,"2,02103E+14",0.0,40.9794870005498,28.7202839999778
509587,BALIKLIYOLU CADDESİ,128451,1,İETTBAYRAK,YENİBOSNA METRO,26.11.2024 00:00:00,02.01.2016 00:00:00,2003,40153,"2,02411E+14",0.0,41.0313240005583,28.7015849999767
509590,TURGUT ÖZAL MAHALLESİ,130411,1,İETTBAYRAK,AVCILAR,01.01.1976 00:00:00,26.02.2016 15:42:13,2053,40858,"2,01807E+14",2.0,41.0095280005548,28.7015659999768
509591,TURGUT ÖZAL MAHALLESİ,130412,1,IETTCAMLI,AVCILAR-ESENYURT,08.03.2021 00:00:00,02.01.2016 00:00:00,2003,40152,"2,02103E+14",0.0,41.0101140005549,28.7012889999768
509593,HASTANE,130672,1,İETTBAYRAK,AVCILAR-ESENYURT,16.01.2019 00:00:00,02.01.2016 00:00:00,2003,40152,"2,01901E+14",0.0,41.0063590005539,28.7058279999766
509594,MUSTAFA KEMALPAŞA MAHALLESİ,130682,1,IETTCAMLI,AVCILAR-ESENYURT,25.10.2022 00:00:00,02.01.2016 00:00:00,2003,40152,"2,0221E+14",0.0,41.0049800005541,28.7074369999773
509596,ÜNİVERSİTE MAHALLESİ,130692,1,İSTON DAR,AVCILAR-ESENYURT,15.11.2021 00:00:00,02.01.2016 00:00:00,2003,40152,"2,02111E+14",0.0,40.9997420005533,28.7131359999777
509598,AVCILAR İGDAŞ,130702,1,İETTBAYRAK,AVCILAR-ESENYURT,01.01.1976 00:00:00,02.01.2016 00:00:00,2003,40152,"2,01807E+14",2.0,40.997766000553,28.7139569999778
